time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2014-11-02T10:17:05.170Z,38.8396683,-122.8379974,2.26,0.43,md,11,98,0.01884,0.04,nc,nc72336956,2014-11-02T11:50:07.016Z,"9km NW of The Geysers, California",earthquake
2014-11-02T09:56:44.000Z,61.7053,-149.9987,33.1,1.7,ml,,,,0.38,ak,ak11432768,2014-11-02T11:36:40.730Z,"5km SSE of Willow, Alaska",earthquake
2014-11-02T09:53:08.240Z,34.1866667,-117.5338333,9.9,0.89,ml,21,60,0.03455,0.17,ci,ci37284592,2014-11-02T10:01:48.890Z,"10km NNE of Rancho Cucamonga, California",earthquake
2014-11-02T09:26:41.400Z,10.8353,-86.8744,46.71,4.4,mb,,195,1.855,1,us,usc000sthb,2014-11-02T17:29:17.151Z,"112km SSW of Masachapa, Nicaragua",earthquake
2014-11-02T09:20:28.550Z,-2.809,147.5844,10,4.7,mb,,123,0.791,0.53,us,usc000stha,2014-11-02T17:23:01.221Z,"93km SSE of Lorengau, Papua New Guinea",earthquake
2014-11-02T09:11:03.000Z,64.608,-147.8926,13.1,1,ml,,,,0.24,ak,ak11432752,2014-11-02T10:28:02.008Z,"26km SSW of Fairbanks, Alaska",earthquake
2014-11-02T09:09:46.430Z,36.8859,-116.1922,6.2772,0.58,ml,12,102.16,0.051,0.1435,nn,nn00465910,2014-11-02T16:11:09.363Z,"50km E of Beatty, Nevada",earthquake
2014-11-02T09:08:54.340Z,38.8118324,-122.8183365,3.15,1.04,md,23,50,0.008973,0.03,nc,nc72336946,2014-11-02T09:10:30.160Z,"6km NW of The Geysers, California",earthquake
2014-11-02T09:06:04.700Z,18.1637,-67.1996,25,2.8,Md,17,223.2,0.07456017,0.07,pr,pr14306004,2014-11-02T17:08:31.872Z,"7km WSW of Mayaguez, Puerto Rico",earthquake
2014-11-02T08:50:26.120Z,36.6708336,-121.2959976,4.15,1.33,md,13,82,0.01875,0.04,nc,nc72336941,2014-11-02T10:50:05.438Z,"16km SSE of Ridgemark, California",earthquake
2014-11-02T08:49:44.440Z,33.259,-116.255,9.09,1.04,ml,26,80,0.06614,0.21,ci,ci37284584,2014-11-02T08:54:05.740Z,"11km E of Borrego Springs, California",earthquake
2014-11-02T08:41:27.990Z,36.6711655,-121.2945023,4.44,2.13,md,25,69,0.01767,0.03,nc,nc72336931,2014-11-02T09:56:04.736Z,"16km SSE of Ridgemark, California",earthquake
2014-11-02T08:37:46.200Z,33.4908333,-116.7971667,9.29,0.73,ml,28,41,0.08962,0.29,ci,ci37284576,2014-11-02T08:41:40.560Z,"8km NE of Aguanga, California",earthquake
2014-11-02T08:19:56.150Z,38.8216667,-122.7645035,2.93,0.5,md,9,95,0.009754,0.01,nc,nc72336916,2014-11-02T08:57:08.391Z,"3km W of Cobb, California",earthquake
2014-11-02T08:13:55.000Z,61.5569,-148.429,20.6,1.8,ml,,,,2.07,ak,ak11432735,2014-11-02T09:14:26.240Z,"28km ESE of Lazy Mountain, Alaska",earthquake
2014-11-02T08:08:26.000Z,59.6912,-152.1444,20.1,2.1,ml,,,,1.19,ak,ak11432733,2014-11-02T09:14:27.539Z,"20km WSW of Anchor Point, Alaska",earthquake
2014-11-02T08:06:18.440Z,33.9911667,-117.0055,19.47,0.87,ml,16,125,0.1174,0.23,ci,ci37284568,2014-11-02T08:10:34.970Z,"3km NW of Cherry Valley, California",earthquake
2014-11-02T07:55:11.600Z,17.7926,-68.6959,123,3.8,Md,18,334.8,1.52533935,0.37,pr,pr14306003,2014-11-02T15:57:40.265Z,"65km S of Boca de Yuma, Dominican Republic",earthquake
2014-11-02T07:51:14.380Z,33.7083333,-116.5471667,5.08,0.58,ml,17,145,0.1374,0.59,ci,ci37284560,2014-11-02T07:55:38.310Z,"10km SW of Cathedral City, California",earthquake
2014-11-02T07:46:02.670Z,33.76,-115.936,1.1,0.91,ml,17,113,0.09818,0.12,ci,ci37284552,2014-11-02T07:50:03.280Z,"23km ENE of Coachella, California",earthquake
2014-11-02T07:34:29.750Z,34.789,-116.2623333,5.14,1.52,ml,19,67,0.07211,0.27,ci,ci37284544,2014-11-02T07:38:22.810Z,"55km SSW of Baker, California",earthquake
2014-11-02T07:18:34.000Z,59.821,-153.1311,121.5,3.8,ml,,,,0.68,ak,ak11432708,2014-11-02T09:16:08.261Z,"78km SSW of Redoubt Volcano, Alaska",earthquake
2014-11-02T06:47:41.060Z,32.6938333,-115.3975,9.79,1.81,ml,17,82,0.1187,0.36,ci,ci37284536,2014-11-02T06:51:52.930Z,"8km NE of Mexicali, Mexico",earthquake
2014-11-02T06:35:50.520Z,36.7541656,-121.2718353,5.67,1.08,md,14,136,0.02698,0.04,nc,nc72336911,2014-11-02T08:35:05.938Z,"10km SE of Ridgemark, California",earthquake
2014-11-02T06:12:58.300Z,48.8758,-122.7208,19,1.9,Ml,,136.8,0.1527136,0.19,uw,uw60915006,2014-11-02T06:25:57.937Z,"4km SSE of Birch Bay, Washington",earthquake
2014-11-02T06:01:53.700Z,18.7709,-65.2782,51,2.7,Md,14,219.6,0.45993743,0.25,pr,pr14306001,2014-11-02T14:04:23.476Z,"51km N of Culebra, Puerto Rico",earthquake
2014-11-02T05:15:41.910Z,37.9165001,-122.0721664,13.6,1.38,md,14,70,0.06299,0.07,nc,nc72336886,2014-11-02T07:12:07.001Z,"1km NNW of Walnut Creek, California",earthquake
2014-11-02T05:13:47.700Z,26.9267,144.0471,10,4.7,mb,,125,1.67,0.76,us,usc000stgi,2014-11-02T13:16:14.626Z,"182km E of Chichi-shima, Japan",earthquake
2014-11-02T05:05:58.730Z,27.0462,143.9298,10,4.8,mb,,138,1.557,0.84,us,usc000stgg,2014-11-02T13:08:30.780Z,"169km E of Chichi-shima, Japan",earthquake
2014-11-02T04:45:12.420Z,38.8348351,-122.8006668,2.48,0.19,md,6,108,0.01358,0.01,nc,nc72336866,2014-11-02T06:18:06.156Z,"6km WNW of Cobb, California",earthquake
2014-11-02T04:31:06.180Z,-17.7895,-178.3419,651.63,4.3,mb,,80,7.401,0.61,us,usc000stgc,2014-11-02T12:33:49.814Z,"285km ESE of Lambasa, Fiji",earthquake
2014-11-02T04:14:54.522Z,38.266,-118.7983,12.2021,1.84,ml,16,40.96,0.193,0.1325,nn,nn00465903,2014-11-02T04:33:20.446Z,"32km SSW of Hawthorne, Nevada",earthquake
2014-11-02T04:01:14.090Z,33.2935,-116.2698333,2.12,1.12,ml,36,38,0.1014,0.31,ci,ci37284528,2014-11-02T04:05:27.010Z,"10km ENE of Borrego Springs, California",earthquake
2014-11-02T03:55:56.130Z,38.824501,-122.8239975,3.17,0.52,md,7,136,0.008728,0.02,nc,nc72336856,2014-11-02T05:48:07.866Z,"7km NW of The Geysers, California",earthquake
2014-11-02T03:52:55.710Z,33.6936667,-116.75,18,0.81,ml,27,59,0.0346,0.14,ci,ci37284520,2014-11-02T03:57:34.890Z,"5km SSW of Idyllwild, California",earthquake
2014-11-02T03:50:57.930Z,38.8088341,-122.815834,3.21,0.55,md,10,118,0.01043,0.02,nc,nc72336851,2014-11-02T05:14:04.234Z,"6km NW of The Geysers, California",earthquake
2014-11-02T03:46:00.752Z,37.291,-116.4453,10.3516,0.33,ml,13,190.97,0.008,0.1449,nn,nn00465901,2014-11-02T04:08:57.334Z,"50km NNE of Beatty, Nevada",earthquake
2014-11-02T03:39:09.600Z,17.9909,-67.0375,11,1.6,Md,3,208.8,0.02245788,0.05,pr,pr14306002,2014-11-02T07:53:57.694Z,"2km NNE of La Parguera, Puerto Rico",earthquake
2014-11-02T03:27:16.650Z,32.949,-115.5385,13.47,1.5,ml,18,125,0.05095,0.42,ci,ci37284512,2014-11-02T03:31:01.720Z,"3km SSW of Brawley, California",earthquake
2014-11-02T03:24:51.630Z,38.2643318,-122.1536636,17.07,1.88,md,6,145,0.1413,0.03,nc,nc72336846,2014-11-02T05:19:04.755Z,"1km NNE of Green Valley, California",earthquake
2014-11-02T03:22:23.000Z,61.3125,-150.9365,54.5,3.5,ml,,,,0.61,ak,ak11432675,2014-11-02T07:28:23.307Z,"56km W of Anchorage, Alaska",earthquake
2014-11-02T02:37:31.600Z,45.8532,-122.9303,22.7,1,Md,,180,0.23356197,0.2,uw,uw60914981,2014-11-02T06:17:19.876Z,"7km WNW of Warren, Oregon",earthquake
2014-11-02T02:30:29.112Z,38.2618,-118.796,8.7969,2.13,ml,14,41.42,0.197,0.1364,nn,nn00465900,2014-11-02T04:14:13.395Z,"32km SSW of Hawthorne, Nevada",earthquake
2014-11-02T02:27:10.000Z,60.4968,-150.8117,40.7,1.8,ml,,,,0.48,ak,ak11432671,2014-11-02T04:30:15.421Z,"5km SSW of Sterling, Alaska",earthquake
2014-11-02T02:24:49.000Z,63.5236,-147.5247,28.6,1.6,ml,,,,0.33,ak,ak11432669,2014-11-02T04:30:14.684Z,"72km ENE of Cantwell, Alaska",earthquake
2014-11-02T02:10:29.640Z,32.7256667,-115.4005,15.75,2.21,ml,18,115,0.08849,0.4,ci,ci37284496,2014-11-02T02:14:29.060Z,"9km SSW of Holtville, California",earthquake
2014-11-02T01:54:54.380Z,38.8188324,-122.8083344,3.68,2.38,md,53,28,0.004754,0.04,nc,nc72336811,2014-11-02T03:55:05.534Z,"6km NW of The Geysers, California",earthquake
2014-11-02T01:48:08.800Z,45.8302,-122.9577,20.7,0.9,Md,,180,0.25152828,0.12,uw,uw60914941,2014-11-02T06:12:58.385Z,"8km W of Warren, Oregon",earthquake
2014-11-02T01:41:21.520Z,38.7941666,-122.7471695,1.07,0.72,md,11,81,0.01363,0.02,nc,nc72336806,2014-11-02T03:26:07.412Z,"2km NNE of The Geysers, California",earthquake
2014-11-02T01:31:44.170Z,33.6636667,-116.7775,12.9,0.96,ml,41,44,0.06758,0.17,ci,ci37284488,2014-11-02T01:35:48.520Z,"10km SSW of Idyllwild-Pine Cove, California",earthquake
2014-11-02T01:26:47.800Z,-27.4345,-71.1402,39.02,4.2,mb,,107,0.754,1.23,us,usc000stfp,2014-11-02T09:29:24.951Z,"80km W of Copiapo, Chile",earthquake
2014-11-02T01:16:23.000Z,63.5095,-150.787,4.1,1.6,ml,,,,0.5,ak,ak11432663,2014-11-02T03:12:25.952Z,"92km W of Cantwell, Alaska",earthquake
2014-11-02T00:59:13.000Z,62.5663,-149.2446,46.1,1.9,ml,,,,0.42,ak,ak11432660,2014-11-02T03:12:25.369Z,"52km ENE of Talkeetna, Alaska",earthquake
2014-11-02T00:58:37.160Z,36.7813,-97.7036,1.58,3,mb_lg,,61,0.272,0.82,us,usc000stfh,2014-11-02T09:01:08.383Z,"3km SE of Medford, Oklahoma",earthquake
2014-11-02T00:58:09.380Z,7.3336,94.2155,17.48,4.6,mb,,170,3.427,0.72,us,usc000stfi,2014-11-02T09:00:44.347Z,"121km SE of Mohean, India",earthquake
2014-11-02T00:43:15.490Z,33.9801667,-117.1821667,14.51,0.97,ml,23,70,0.08001,0.26,ci,ci37284480,2014-11-02T00:47:31.200Z,"6km NE of Moreno Valley, California",earthquake
2014-11-02T00:29:30.700Z,18.0912,-63.6287,29,3,Md,4,320.4,0.99263839,0.3,pr,pr14306000,2014-11-02T08:32:13.187Z,"57km W of Marigot, Saint Martin",earthquake
2014-11-02T00:27:04.570Z,64.6315,-17.8699,6.66,4.5,mb,,99,1.49,1.05,us,usc000stfe,2014-11-02T08:29:44.604Z,"117km S of Akureyri, Iceland",earthquake
2014-11-02T00:20:01.000Z,61.5672,-146.2793,32.7,1.7,ml,,,,0.52,ak,ak11432657,2014-11-02T01:49:21.236Z,"48km N of Valdez, Alaska",earthquake
2014-11-02T00:10:32.000Z,63.1558,-150.4563,110.6,1.9,ml,,,,0.43,ak,ak11432655,2014-11-02T01:49:11.434Z,"80km WSW of Cantwell, Alaska",earthquake
2014-11-02T00:07:17.130Z,38.8176651,-122.7651672,2.65,0.51,md,8,81,0.01331,0.03,nc,nc72336791,2014-11-02T01:58:07.956Z,"3km W of Cobb, California",earthquake
2014-11-01T23:29:37.800Z,45.7492,-123.0187,26.8,1.9,Ml,,72,0.23356197,0.13,uw,uw60914901,2014-11-02T00:44:27.655Z,"10km W of Scappoose, Oregon",earthquake
2014-11-01T23:14:02.000Z,19.7447,-155.6143,0,2.1,Md,,140.4,0.08084838,0.37,hv,hv60797126,2014-11-01T23:17:03.005Z,"28km SE of Waikoloa, Hawaii",earthquake
2014-11-01T23:03:02.840Z,40.7046661,-124.2399979,8.56,2.38,md,17,193,0.1956,0.1,nc,nc72336776,2014-11-02T07:06:01.015Z,"4km WSW of Humboldt Hill, California",earthquake
2014-11-01T22:49:25.660Z,38.8293343,-122.7975006,3.58,0.88,md,6,100,0.01147,0.02,nc,nc72336771,2014-11-02T00:16:06.604Z,"6km W of Cobb, California",earthquake
2014-11-01T22:43:19.530Z,38.8089981,-122.7959976,0.04,0.5,md,8,141,0.0127,0.17,nc,nc72336766,2014-11-02T00:27:08.050Z,"4km NW of The Geysers, California",earthquake
